id,title,authors,type,location,date,link,axis
T216,"ESTUDO DO COMPORTAMENTO DE FASES DE UMA MISTURA N- HEPTANO, N-DODECANO E DIÓXIDO DE CARBONO ATRAVÉS DA CÉLULA PVT VISUAL","Carine Allebrandt, Ana Clara Cazarin, Ian Hovell, Krishnaswamy Rajagopal", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T217,AVALIAÇÃO DO INÍCIO DA PRECIPITAÇÃO DE ASFALTENOS EM ÓLEO MODELO E ESTUDO DO EFEITO DA TEMPERATURA EM UM PETRÓLEO DO ESTRANGEIRO,"Mischelle Paiva dos Santos, Eduardo Rocha de Almeida Lima, Márcio Luiz Lyra Paredes", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T218,CARACTERIZAÇÃO INTERFACIAL E SUPERFICIAL DE FRAÇÕES ASFÁLTICAS DE PETRÓLEO,"Iago Filipe Silva de Oliveira, Larissa Gomes, André Polloni, Juliana Faccin de Conto, Elton Franceschi, Gustavo Borges", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T219,LUBRICANT OILS FRACTIONATION USING LIQUEFIED GASES,"Pablo E. Hegel, Sabrina B. Rodriguez Reartes, Marcelo S. Zabaloy", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T225,EFICIÊNCIA DE INIBIDORES DE INCURSTAÇÃO E DE HIDRATOS COMBINADOS NA INCRUSTAÇÃO DE CACO3 EM SOLUÇÕES AQUOSAS,"Marcela O. Meneses, Fabiane S. Serpa, Bruno B. Castro, Gustavo R. Borges, Elton Franceschi, Cláudio Dariva", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T235,EFEITO DE VARIAÇÃO DE COMPOSIÇÃO DURANTE AMOSTRAGEM NA MEDIÇÃO DE PRESSÃO DE MISCIBILIDADE DE FLUIDOS DE RESERVATÓRIOS,"Alexandre Jaime Mello Vieira, Krishnaswamy Rajagopal, Frederico Wanderley Tavares", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T237,MOLECULAR THERMODYNAMICS FOR WATER-IN-OIL MICROEMULSIONS: AN EXPERIMENTAL-MODELING APPROACH,"Gabriel D. Barbosa, Carla L. M. Camargo, Lia B. S. Balestrin, Olivia C. C. Poltronieri, Frederico W. Tavares", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T240,EFEITO DA ESPECIFICIDADE IÔNICA NA MOBILIDADE ELETROFORÉTICA DE NANOPARTÍCULAS DE CARBONATO DE CÁLCIO,"Vanessa P. Lages, Juliana B. R. Loureiro, Amaro G. Barreto", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T244,DESENVOLVIMENTO DE MODELAGEM MATEMÁTICA PARA ANÁLISE DO DESEMPENHO RELATIVO DE DESEMULSIFICANTES,"Darlan P. Chagas, Ádyla K.C. Chagas, Eduardo R. A. Lima, André L. H. Costa", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T245,AVALIAÇÃO DO CICLO DE REFRIGERAÇÃO EM DIVERSAS ROTAÇÕES DO COMPRESSOR DE UMA BANCADA DIDÁTICA DE ANÁLISE TERMODINÂMICA,Diogo da Silva Oliveira, Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
